,Country,Year,CO2 emissions,Population,Continent
0,World,1971,67.975,71.19,
1,World,1972,71.264,72.64,
2,World,1973,75.352,74.103,
3,World,1974,75.198,75.534,
4,World,1975,75.483,76.934,
5,World,1976,79.493,78.316,
6,World,1977,82.192,79.691,
7,World,1978,84.631,81.087,
8,World,1979,87.154,82.519,
9,World,1980,86.309,83.982,
10,World,1981,85.181,85.463,
11,World,1982,84.264,87.002,
12,World,1983,84.793,88.555,
13,World,1984,87.635,90.104,
14,World,1985,88.946,91.682,
15,World,1986,90.538,93.34,
16,World,1987,93.602,94.999,
17,World,1988,96.789,96.68,
18,World,1989,98.625,98.363,
19,World,1990,100.0,100.0,
20,World,1991,100.607,101.66,
21,World,1992,100.316,103.326,
22,World,1993,100.889,104.925,
23,World,1994,101.377,106.501,
24,World,1995,104.175,108.068,
25,World,1996,106.378,109.629,
26,World,1997,108.299,111.184,
27,World,1998,109.156,112.721,
28,World,1999,109.826,114.235,
29,World,2000,113.283,115.746,
30,World,2001,114.99,117.239,
31,World,2002,116.625,118.732,
32,World,2003,121.659,120.228,
33,World,2004,127.381,121.728,
34,World,2005,131.984,123.24,
35,World,2006,136.197,124.763,
36,World,2007,141.301,126.307,
37,World,2008,142.373,127.871,
38,World,2009,140.339,129.44,
39,World,2010,149.066,130.997,
40,World,2011,153.341,132.556,
41,World,2012,155.03,134.141,
42,World,2013,157.782,135.71,
43,World,2014,157.869,137.297,
44,World,2015,157.757,138.891,
45,World,2016,157.802,140.5,
46,World,2017,160.057,142.098,
47,World,2018,163.351,143.671,
48,Annex I Parties ,1971,,,
49,Annex I Parties ,1972,,,
50,Annex I Parties ,1973,,,
51,Annex I Parties ,1974,,,
52,Annex I Parties ,1975,,,
53,Annex I Parties ,1976,,,
54,Annex I Parties ,1977,,,
55,Annex I Parties ,1978,,,
56,Annex I Parties ,1979,,,
57,Annex I Parties ,1980,,,
58,Annex I Parties ,1981,,,
59,Annex I Parties ,1982,,,
60,Annex I Parties ,1983,,,
61,Annex I Parties ,1984,,,
62,Annex I Parties ,1985,,,
63,Annex I Parties ,1986,,,
64,Annex I Parties ,1987,,,
65,Annex I Parties ,1988,,,
66,Annex I Parties ,1989,,,
67,Annex I Parties ,1990,100.0,100.0,
68,Annex I Parties ,1991,99.15,100.62,
69,Annex I Parties ,1992,96.997,101.199,
70,Annex I Parties ,1993,95.524,101.74,
71,Annex I Parties ,1994,94.219,102.195,
72,Annex I Parties ,1995,94.692,102.653,
73,Annex I Parties ,1996,96.564,103.076,
74,Annex I Parties ,1997,97.077,103.499,
75,Annex I Parties ,1998,97.118,103.909,
76,Annex I Parties ,1999,97.411,104.307,
77,Annex I Parties ,2000,99.324,104.707,
78,Annex I Parties ,2001,99.476,105.061,
79,Annex I Parties ,2002,98.673,105.452,
80,Annex I Parties ,2003,100.621,105.88,
81,Annex I Parties ,2004,101.05,106.307,
82,Annex I Parties ,2005,101.067,106.764,
83,Annex I Parties ,2006,100.844,107.226,
84,Annex I Parties ,2007,101.806,107.751,
85,Annex I Parties ,2008,99.396,108.293,
86,Annex I Parties ,2009,92.733,108.829,
87,Annex I Parties ,2010,96.517,109.308,
88,Annex I Parties ,2011,95.106,109.746,
89,Annex I Parties ,2012,93.592,110.185,
90,Annex I Parties ,2013,93.599,110.621,
91,Annex I Parties ,2014,91.754,111.087,
92,Annex I Parties ,2015,90.564,111.569,
93,Annex I Parties ,2016,89.774,112.067,
94,Annex I Parties ,2017,89.525,112.493,
95,Annex I Parties ,2018,90.407,112.906,
96,Annex II Parties   ,1971,88.82,88.243,
97,Annex II Parties   ,1972,92.77,89.03,
98,Annex II Parties   ,1973,97.783,89.897,
99,Annex II Parties   ,1974,95.277,90.6,
100,Annex II Parties   ,1975,91.556,91.258,
101,Annex II Parties   ,1976,96.727,91.877,
102,Annex II Parties   ,1977,98.551,92.497,
103,Annex II Parties   ,1978,99.148,93.119,
104,Annex II Parties   ,1979,101.335,93.76,
105,Annex II Parties   ,1980,97.5,94.461,
106,Annex II Parties   ,1981,94.868,95.056,
107,Annex II Parties   ,1982,91.194,95.602,
108,Annex II Parties   ,1983,90.373,96.099,
109,Annex II Parties   ,1984,93.19,96.572,
110,Annex II Parties   ,1985,93.914,97.066,
111,Annex II Parties   ,1986,93.711,97.574,
112,Annex II Parties   ,1987,95.772,98.096,
113,Annex II Parties   ,1988,98.948,98.668,
114,Annex II Parties   ,1989,100.427,99.302,
115,Annex II Parties   ,1990,100.0,100.0,
116,Annex II Parties   ,1991,100.217,100.787,
117,Annex II Parties   ,1992,100.648,101.542,
118,Annex II Parties   ,1993,101.225,102.251,
119,Annex II Parties   ,1994,102.722,102.87,
120,Annex II Parties   ,1995,103.93,103.492,
121,Annex II Parties   ,1996,106.971,104.119,
122,Annex II Parties   ,1997,109.171,104.748,
123,Annex II Parties   ,1998,110.03,105.359,
124,Annex II Parties   ,1999,110.553,105.977,
125,Annex II Parties   ,2000,112.899,106.62,
126,Annex II Parties   ,2001,113.157,107.273,
127,Annex II Parties   ,2002,112.11,107.982,
128,Annex II Parties   ,2003,113.874,108.693,
129,Annex II Parties   ,2004,114.738,109.381,
130,Annex II Parties   ,2005,114.881,110.102,
131,Annex II Parties   ,2006,113.479,110.812,
132,Annex II Parties   ,2007,114.508,111.594,
133,Annex II Parties   ,2008,111.174,112.366,
134,Annex II Parties   ,2009,103.936,113.033,
135,Annex II Parties   ,2010,107.845,113.642,
136,Annex II Parties   ,2011,104.777,114.2,
137,Annex II Parties   ,2012,102.793,114.738,
138,Annex II Parties   ,2013,103.709,115.261,
139,Annex II Parties   ,2014,101.587,115.83,
140,Annex II Parties   ,2015,100.389,116.419,
