,Country,Year,CO2 emissions,Population,Continent,Country Code,Population growth (annual %)
0,World,1971,67.975,71.19,,WLD,2.13311686340344
1,World,1972,71.264,72.64,,WLD,2.03121137162374
2,World,1973,75.352,74.103,,WLD,1.98294336877748
3,World,1974,75.198,75.534,,WLD,1.92954936287425
4,World,1975,75.483,76.934,,WLD,1.8558336723775
5,World,1976,79.493,78.316,,WLD,1.79507967654773
6,World,1977,82.192,79.691,,WLD,1.74961533313858
7,World,1978,84.631,81.087,,WLD,1.74802018504161
8,World,1979,87.154,82.519,,WLD,1.7620417897177
9,World,1980,86.309,83.982,,WLD,1.74866104222924
10,World,1981,85.181,85.463,,WLD,1.76406767844979
11,World,1982,84.264,87.002,,WLD,1.80049048590014
12,World,1983,84.793,88.555,,WLD,1.78432403887979
13,World,1984,87.635,90.104,,WLD,1.74712530080474
14,World,1985,88.946,91.682,,WLD,1.74895086012958
15,World,1986,90.538,93.34,,WLD,1.76830078138659
16,World,1987,93.602,94.999,,WLD,1.78300118456379
17,World,1988,96.789,96.68,,WLD,1.77018316822685
18,World,1989,98.625,98.363,,WLD,1.73856862522462
19,World,1990,100.0,100.0,,WLD,1.73544185116863
20,World,1991,100.607,101.66,,WLD,1.66842050994094
21,World,1992,100.316,103.326,,WLD,1.57292819054604
22,World,1993,100.889,104.925,,WLD,1.56456504240188
23,World,1994,101.377,106.501,,WLD,1.52044016094899
24,World,1995,104.175,108.068,,WLD,1.50599110708553
25,World,1996,106.378,109.629,,WLD,1.45269465711498
26,World,1997,108.299,111.184,,WLD,1.427219157415
27,World,1998,109.156,112.721,,WLD,1.39160819986147
28,World,1999,109.826,114.235,,WLD,1.35179096679923
29,World,2000,113.283,115.746,,WLD,1.32307577883421
30,World,2001,114.99,117.239,,WLD,1.2975934295266
31,World,2002,116.625,118.732,,WLD,1.27680831188725
32,World,2003,121.659,120.228,,WLD,1.26147763010064
33,World,2004,127.381,121.728,,WLD,1.25426340053367
34,World,2005,131.984,123.24,,WLD,1.24692384480321
35,World,2006,136.197,124.763,,WLD,1.24369497414078
36,World,2007,141.301,126.307,,WLD,1.23574121285958
37,World,2008,142.373,127.871,,WLD,1.24085406678891
38,World,2009,140.339,129.44,,WLD,1.22174269013
39,World,2010,149.066,130.997,,WLD,1.20333276891564
40,World,2011,153.341,132.556,,WLD,1.17025832977265
41,World,2012,155.03,134.141,,WLD,1.18393451235548
42,World,2013,157.782,135.71,,WLD,1.18384476275419
43,World,2014,157.869,137.297,,WLD,1.18021596062547
44,World,2015,157.757,138.891,,WLD,1.16873977624677
45,World,2016,157.802,140.5,,WLD,1.16374431044332
46,World,2017,160.057,142.098,,WLD,1.14385698082209
47,World,2018,163.351,143.671,,WLD,1.10615060940842
48,Canada,1971,83.134,79.311,North America,CAN,2.94819452761436
49,Canada,1972,87.453,80.235,North America,CAN,1.16084656651465
50,Canada,1973,91.789,81.225,North America,CAN,1.22261658426849
51,Canada,1974,94.157,82.366,North America,CAN,1.39602166927373
52,Canada,1975,92.144,83.576,North America,CAN,1.45942491323998
53,Canada,1976,95.104,84.685,North America,CAN,1.31580656558804
54,Canada,1977,98.128,85.681,North America,CAN,1.17025687783266
55,Canada,1978,98.504,86.537,North America,CAN,0.99545694441135
56,Canada,1979,101.969,87.4,North America,CAN,0.989698733234704
57,Canada,1980,103.178,88.534,North America,CAN,1.28959497847156
58,Canada,1981,98.416,89.632,North America,CAN,1.23339725480528
59,Canada,1982,94.236,90.705,North America,CAN,1.18962434077573
60,Canada,1983,92.618,91.604,North America,CAN,0.988487567147771
61,Canada,1984,96.364,92.474,North America,CAN,0.944034716041094
62,Canada,1985,96.242,93.323,North America,CAN,0.91377427539001
63,Canada,1986,94.256,94.254,North America,CAN,0.994040150630969
64,Canada,1987,96.913,95.508,North America,CAN,1.31816778174498
65,Canada,1988,104.257,96.753,North America,CAN,1.29662488995999
66,Canada,1989,108.061,98.505,North America,CAN,1.79419351491939
67,Canada,1990,100.0,100.0,North America,CAN,1.50766067284807
68,Canada,1991,98.647,101.25,North America,CAN,1.24276123131684
69,Canada,1992,101.78,102.456,North America,CAN,1.18367554138942
70,Canada,1993,101.054,103.59,North America,CAN,1.09893087887878
71,Canada,1994,104.784,104.731,North America,CAN,1.09525810706129
72,Canada,1995,107.157,105.818,North America,CAN,1.03476948386834
73,Canada,1996,110.631,106.93,North America,CAN,1.04531178311831
74,Canada,1997,114.221,107.999,North America,CAN,0.993788591465188
75,Canada,1998,115.868,108.898,North America,CAN,0.829909353323744
76,Canada,1999,118.193,109.787,North America,CAN,0.812842623716166
77,Canada,2000,123.017,110.816,North America,CAN,0.931281553452429
78,Canada,2001,121.234,112.026,North America,CAN,1.08635096562717
79,Canada,2002,125.702,113.25,North America,CAN,1.08744792718674
80,Canada,2003,130.544,114.275,North America,CAN,0.901372739095955
81,Canada,2004,128.569,115.348,North America,CAN,0.933020777495183
82,Canada,2005,131.684,116.442,North America,CAN,0.944466927450734
83,Canada,2006,129.394,117.623,North America,CAN,1.01033450270045
84,Canada,2007,136.862,118.771,North America,CAN,0.971135141368055
85,Canada,2008,131.917,120.064,North America,CAN,1.08290711607014
86,Canada,2009,125.228,121.444,North America,CAN,1.14175809912162
87,Canada,2010,128.575,122.802,North America,CAN,1.11186407517168
88,Canada,2011,131.617,124.008,North America,CAN,0.978697786570341
89,Canada,2012,131.271,125.362,North America,CAN,1.08581726304756
90,Canada,2013,133.651,126.695,North America,CAN,1.05659125917789
91,Canada,2014,134.932,127.973,North America,CAN,1.00533757867378
92,Canada,2015,134.215,128.934,North America,CAN,0.746339477969813
93,Canada,2016,132.42,130.4,North America,CAN,1.13234865466606
94,Canada,2017,135.141,131.967,North America,CAN,1.19968215419992
95,Canada,2018,138.111,133.827,North America,CAN,1.412548033188
96,Chile,1971,71.467,73.875,South America,CHL,1.61803401706321
97,Chile,1972,70.129,75.157,South America,CHL,1.60589962698456
98,Chile,1973,67.968,76.44,South America,CHL,1.59213932006477
99,Chile,1974,66.96,77.722,South America,CHL,1.57508850734923
100,Chile,1975,58.133,79.004,South America,CHL,1.55567688119806
101,Chile,1976,60.786,80.158,South America,CHL,1.54169118679336
